southBoundVersion,methodName,queryParams,microService,operation,backendVersion,endpoint,responseUnwrapMethod,httpMethod
V1,offers,MSISDN;offerCategory,Offers,MvivaOffers,V1,Offers/V1/MvivaOffers,parsed_key_result3,GET
V1,denominations,MSISDN,DataTransfer,Denominations,V1,DataTransfer/V1/Denominations,parsed_key_result3,GET
V1,history,MSISDN,DataTransfer,History,V1,DataTransfer/V1/History,parsed_key_result3,GET
V1,validate_destination,MSISDN,DataTransfer,ValidateDataTransferDestination,V1,DataTransfer/V1/ValidateDataTransferDestination,parsed_key_result3,POST
V1,submit_data_transfer_destination,MSISDN;DestinationMSISDN;transferDenominationId,DataTransfer,SubmitDataTransferDestination,V1,DataTransfer/V1/SubmitDataTransferDestination,parsed_key_result3,POST
V1,reasons,,Deactivation,Reasons,V1,Deactivation/V1/Reasons,parsed_key_result3,GET
V1,request_otp,MSISDN;ReasonId,Deactivation,RequestOTP,V1,Deactivation/V1/RequestOTP,parsed_key_result3,POST
V1,confirm,MSISDN;OTP;ReasonId,Deactivation,Confirm,V1,Deactivation/V1/Confirm,parsed_key_result3,POST
V1,RequestOTPForWeb,MSISDN;ReasonId;IDNumber;IDType,Deactivation,RequestOTPForWeb,V1,Deactivation/V1/RequestOTPForWeb,parsed_key_result3,POST
V1,PostpaidReasons,,PostPaidPlan,SuspendReasons,V1,PostPaidPlan/V1/SuspendReasons,parsed_key_result3,GET
V1,SuspendPostPaid,MSISDN;Reason,PostPaidPlan,Suspend,V1,PostPaidPlan/V1/Suspend,parsed_key_result3,POST
V1,ReconnectPostPaid,MSISDN,PostPaidPlan,Reconnect,V1,PostPaidPlan/V1/Reconnect,parsed_key_result3,POST
V1,PostPaidTerminationTicket,IDNumber;IDType;ContactPhone;IBAN;reason,Deactivation,PostPaidTerminationTicket,V1,Deactivation/V1/PostPaidTerminationTicket,parsed_key_result3,POST
V1,CheckMSISDNType,MSISDN,Deactivation,checkMSISDNType,V1,Deactivation/V1/checkMSISDNType,parsed_key_result3,GET
V1,create,longitude;latitude;mobileNumber;navigationInstruction;customerName;customerHasSIM,ConfirmDelivery,DeliverSIMNow,V1,ConfirmDelivery/V1/DeliverSIMNow,parsed_key_results4,POST
V1,destroy,reason;deliverybookingID,ConfirmDelivery,Cancel,V1,ConfirmDelivery/V1/Cancel,parsed_key_results,POST
V1,sim_tracking,deliverybookingID,DeliveryInformation,SIMTripTracking,V1,DeliveryInformation/V1/SIMTripTracking,parsed_key_results4,GET
V1,get,deliverybookingID,DeliveryInformation.svc,SIMTrip,V1,DeliveryInformation.svc/V1/SIMTrip,parsed_key_results4,GET
V1,eta,longitude;latitude,DeliveryInformation,ETA,V1,DeliveryInformation/V1/ETA,parsed_key_results,GET
V1,delivery_cancel,reason;CVV;deliverybookingID,ConfirmDelivery,CancelOnlinePayment,V1,ConfirmDelivery/V1/CancelOnlinePayment,,POST
V1,cancellation_reasons,,,,,,,
V1,request_otp,,otp,Request,V1,otp/V1/Request,parsed_key_result3,POST
V1,verify_otp,,otp,Verify,V1,otp/V1/Verify,parsed_key_result3,POST
V1,eligibility_type,,CheckEligibility,Type,V1,CheckEligibility/V1/Type,parsed_key_results,GET
V1,available_nationalities,,CheckEligibility,Nationalities,V1,CheckEligibility/V1/Nationalities,parsed_key_results,GET
V1,available_saudi_cities,,CheckEligibility,Cities,V1,CheckEligibility/V1/Cities,parsed_key_results,GET
V1,check_eligibility,,CheckEligibility,CheckEligibility,V1,CheckEligibility/V1/CheckEligibility,parsed_key_results,POST
V1,get_check_eligibility,,FamilyCheckEligibility,FamilyCheckEligibility,V1,FamilyCheckEligibility/V1/FamilyCheckEligibility,parsed_key_results,POST
V1,is_eligible_for_postpaid,,CheckEligibility,IsEligibleForPostpaid,V2,CheckEligibility/V2/IsEligibleForPostpaid,parsed_key_result3,POST
V1,is_absher_eligible,,CheckEligibility,IsEligibleForAbsher,V1,CheckEligibility/V1/IsEligibleForAbsher,parsed_key_result3,POST
V1,send_verification_email,,Password,VerificationCode,V1,Password/V1/VerificationCode,parsed_key_results,POST
V1,validate,,Password,ValidateVerificationCode,V1,Password/V1/ValidateVerificationCode,parsed_key_results,POST
